Invoice Date,Transaction Type,Order Id,Shipment Date,Order Date,Shipment Item Id,Item Description,Invoice Amount
2024-06-02 20:21:44,Shipment,304-6400914-4197134,2024-06-03 13:02:44,2024-06-02 16:21:35,394098254356,Product A,321.0
2024-06-02 20:22:56,Shipment,504-6096304-8178937,2024-06-03 15:37:19,2024-06-02 16:22:26,392577810497,Product A,1272.0
2024-06-02 20:23:15,Shipment,204-5497617-3057869,2024-06-03 01:11:10,2024-06-02 20:18:05,394099882977,Product A,510.0
2024-06-02 20:25:30,Shipment,504-6398203-8072448,2024-06-03 15:12:38,2024-06-02 14:14:57,393028070229,Product A,910.0
2024-06-02 20:28:00,Shipment,404-2544202-5551302,2024-06-03 09:35:38,2024-06-02 16:27:53,392038377638,Product A,612.0
2024-06-02 20:28:17,Shipment,404-0197808-7234495,2024-06-03 15:51:20,2024-06-02 16:27:47,394129545579,Product A,646.0
2024-06-02 20:30:07,Shipment,404-6441739-1557418,2024-06-02 23:17:12,2024-06-02 20:25:04,394130193010,Product A,347.0
2024-06-02 20:31:29,Shipment,504-3348717-6678107,2024-06-03 15:36:55,2024-06-02 16:30:46,393603652463,Product A,672.0
2024-06-02 20:31:29,Refund,504-3348717-6678107,2024-06-03 15:36:55,2024-06-02 16:30:46,393603652463,Product A,-672.0
2024-06-02 20:33:29,Shipment,204-2969768-8334641,2024-06-03 15:47:18,2024-06-02 15:59:19,394128389071,Product A,1235.0
2024-06-02 20:35:17,Shipment,304-2951789-4134602,2024-06-03 15:47:17,2024-06-02 16:27:54,394131556037,Product A,952.0
2024-06-02 20:37:11,Shipment,171-0766049-8357027,2024-06-03 02:21:12,2024-06-02 13:09:56,392013989327,Product A,2066.0
2024-06-02 20:37:13,Shipment,604-0727577-0272280,2024-06-03 12:58:56,2024-06-02 15:08:59,393032447080,Product A,616.0
2024-06-02 20:37:13,Refund,604-0727577-0272280,2024-06-03 12:58:56,2024-06-02 15:08:59,393032447080,Product A,-616.0
2024-06-02 20:37:15,Shipment,804-5159875-3474996,2024-06-03 02:42:15,2024-06-02 16:28:47,393029529415,Product A,510.0
2024-06-02 20:38:20,Shipment,304-6333457-3234691,2024-06-03 09:27:44,2024-06-02 15:38:07,392555834497,Product A,493.0
2024-06-02 20:39:09,Shipment,704-3371802-3678146,2024-06-03 00:17:18,2024-06-01 18:28:24,393054829379,Product A,544.0
2024-06-02 20:39:51,Shipment,604-6878421-3655569,2024-06-03 20:54:34,2024-06-02 16:39:45,394098743005,Product A,561.0
2024-06-02 20:41:10,Cancel,804-3609923-0559350,,,392588268122,,0.0
2024-06-02 20:41:51,Shipment,504-2164991-0236344,2024-06-02 22:15:35,2024-06-02 16:41:45,393571717932,Product A,1069.31
2024-06-02 20:42:00,Shipment,504-2447928-5255791,2024-06-03 16:08:01,2024-06-02 16:41:45,393049089914,Product A,532.09
2024-06-02 20:42:00,Shipment,504-2447928-5255791,2024-06-03 16:08:01,2024-06-02 16:41:45,392025616520,Product A,1020.0
2024-06-02 20:42:17,Shipment,804-8061047-7211694,2024-06-03 15:49:03,2024-06-02 16:42:04,393590761319,Product A,689.0
2024-06-02 20:42:17,Refund,804-8061047-7211694,2024-06-03 15:49:03,2024-06-02 16:42:04,393590761319,Product A,-689.0
2024-06-02 20:47:08,Shipment,304-3159927-8657616,2024-06-03 11:34:15,2024-06-02 12:52:06,393045827107,Product A,1496.0
2024-06-02 20:47:11,Shipment,404-2952109-4334242,2024-06-03 04:42:36,2024-06-02 16:37:37,394130000802,Product A,474.0
2024-06-02 20:47:11,Refund,404-2952109-4334242,2024-06-03 04:42:36,2024-06-02 16:37:37,394130000802,Product A,-474.0
2024-06-02 20:50:32,Shipment,171-7070017-2255963,2024-06-03 15:51:58,2024-06-02 16:50:06,394118744973,Product A,321.0
2024-06-02 20:51:37,Shipment,604-3236322-4619038,2024-06-04 02:17:36,2024-06-02 16:51:33,393629142845,Product A,375.0
2024-06-02 20:55:57,Shipment,804-9332541-4536109,2024-06-03 01:42:12,2024-06-02 16:53:39,392586351173,Product A,732.0
2024-06-02 20:57:12,Shipment,704-1575339-9615295,2024-06-04 15:20:36,2024-06-02 16:57:04,393565915752,Product A,799.0
2024-06-02 20:57:15,Shipment,404-1049954-7251999,2024-06-03 13:50:16,2024-06-02 16:56:29,394084896355,Product A,739.0
2024-06-02 20:57:25,Cancel,504-1809911-3257086,,,393596229431,,0.0
2024-06-02 20:59:45,Shipment,504-6685524-6230091,2024-06-03 03:15:12,2024-06-02 16:51:13,393599457458,Product A,347.0
2024-06-02 21:03:30,Shipment,171-0306135-9459993,2024-06-03 15:20:46,2024-06-02 16:59:11,393045988471,Product A,935.0
2024-06-02 21:06:00,Shipment,204-5642990-0319834,2024-06-04 15:58:56,2024-06-02 17:05:49,393571879352,Product A,1350.0
2024-06-02 21:07:09,Shipment,304-0401193-0555528,2024-06-02 23:27:39,2024-06-02 17:00:39,394114179082,Product A,347.0
2024-06-02 21:07:11,Shipment,804-9431114-7674952,2024-06-03 10:02:15,2024-06-02 16:12:53,393603108959,Product A,1193.0
2024-06-02 21:08:53,Shipment,704-4239625-4176894,2024-06-03 15:53:19,2024-06-02 17:08:38,393587916157,Product A,402.0
2024-06-02 21:15:15,Cancel,704-3098072-2391020,,,394127859041,,0.0
2024-06-02 21:15:17,Shipment,704-3098072-2391020,2024-06-03 13:00:27,2024-06-02 17:14:57,393589623154,Product A,321.0
2024-06-02 21:17:09,Shipment,604-9179582-4497977,2024-06-03 03:15:34,2024-06-02 16:34:55,394090753184,Product A,1632.0
2024-06-02 21:17:15,Shipment,804-0649834-4211488,2024-06-03 13:10:28,2024-06-02 13:12:16,393603653025,Product A,748.0
2024-06-02 21:17:25,Shipment,804-7610561-2517932,2024-06-03 13:10:18,2024-06-02 13:12:16,394110966474,Product A,816.0
2024-06-02 21:17:31,Shipment,604-6175352-5691677,2024-06-03 14:20:46,2024-06-02 17:17:22,393581397138,Product A,366.0
2024-06-02 21:17:54,Cancel,504-7429417-7030038,,,394120808742,,0.0
2024-06-02 21:17:54,Cancel,504-7429417-7030038,,,392588755982,,0.0
2024-06-02 21:17:54,Shipment,504-7429417-7030038,2024-06-03 16:07:19,2024-06-02 17:15:10,394120808742,Product A,1377.0
2024-06-02 21:17:54,Shipment,504-7429417-7030038,2024-06-03 16:07:19,2024-06-02 17:15:10,392588755982,Product A,1020.0
2024-06-02 21:17:54,Refund,504-7429417-7030038,2024-06-03 16:07:19,2024-06-02 17:15:10,392588755982,Product A,-1020.0
2024-06-02 21:17:54,Refund,504-7429417-7030038,2024-06-03 16:07:19,2024-06-02 17:15:10,394120808742,Product A,-1377.0
2024-06-02 21:19:03,Shipment,604-6250291-2038837,2024-06-03 14:14:41,2024-06-02 15:06:38,393036714053,Product A,994.0
2024-06-02 21:19:03,Refund,604-6250291-2038837,2024-06-03 14:14:41,2024-06-02 15:06:38,393036714053,Product A,-994.0
2024-06-02 21:19:53,Shipment,171-9331796-1174799,2024-06-04 01:21:35,2024-06-02 17:19:43,393604387516,Product A,731.0
2024-06-02 21:21:08,Shipment,804-5407591-8434641,2024-06-03 16:24:37,2024-06-02 17:21:02,392033240670,Product A,799.0
2024-06-02 21:21:08,Refund,804-5407591-8434641,2024-06-03 16:24:37,2024-06-02 17:21:02,392033240670,Product A,-799.0
2024-06-02 21:22:32,Shipment,171-2736940-2478320,2024-06-04 16:18:24,2024-06-02 17:22:14,393044835803,Product A,561.0
2024-06-02 21:22:32,Shipment,171-2736940-2478320,2024-06-04 16:18:24,2024-06-02 17:22:14,393044835804,Product A,537.19
2024-06-02 21:22:32,Shipment,171-2736940-2478320,2024-06-04 16:18:24,2024-06-02 17:22:14,392570543881,Product A,593.31
2024-06-02 21:22:32,Refund,171-2736940-2478320,2024-06-04 16:18:24,2024-06-02 17:22:14,393044835803,Product A,-561.0
2024-06-02 21:22:32,Refund,171-2736940-2478320,2024-06-04 16:18:24,2024-06-02 17:22:14,392570543881,Product A,-593.31
2024-06-02 21:22:32,Refund,171-2736940-2478320,2024-06-04 16:18:24,2024-06-02 17:22:14,393044835804,Product A,-537.19
2024-06-02 21:26:32,FreeReplacement,804-3437718-9578776,2024-06-03 15:21:39,2024-06-02 17:25:58,392614217713,Product A,0.0
2024-06-02 21:28:03,Shipment,604-0077558-0676067,2024-06-05 17:31:42,2024-06-02 17:27:55,392555186701,Product A,544.0
2024-06-02 21:32:41,Shipment,204-4058308-0330631,2024-06-03 15:45:59,2024-06-02 16:42:21,394092699091,Product A,612.0
2024-06-02 21:33:13,Shipment,204-5881205-3051177,2024-06-03 15:48:19,2024-06-02 17:15:56,392568884656,Product A,1273.0
2024-06-02 21:33:51,Shipment,504-4276973-4215431,2024-06-04 16:18:39,2024-06-02 15:47:08,392588104012,Product A,1887.0
2024-06-02 21:35:52,Shipment,804-9106923-1695281,2024-06-03 15:50:15,2024-06-02 17:35:28,394128283651,Product A,761.4
2024-06-02 21:35:59,Shipment,604-8381122-4511856,2024-06-03 15:21:19,2024-06-02 16:44:59,393588921896,Product A,935.0
2024-06-02 21:37:18,Shipment,804-5275693-4213740,2024-06-03 02:16:36,2024-06-02 17:23:53,394098094042,Product A,994.0
2024-06-02 21:39:30,Shipment,804-8112130-6430069,2024-06-05 15:52:31,2024-06-02 17:39:21,393032608883,Product A,1159.0
2024-06-02 21:41:57,Shipment,404-1362600-9353854,2024-06-03 15:34:00,2024-06-02 17:41:43,393629331630,Product A,728.0
2024-06-02 21:42:32,Shipment,704-4386072-2095477,2024-06-03 15:21:43,2024-06-02 17:41:56,392057978451,Product A,698.0
2024-06-02 21:42:32,Refund,704-4386072-2095477,2024-06-03 15:21:43,2024-06-02 17:41:56,392057978451,Product A,-698.0
2024-06-02 21:42:58,Cancel,204-7984397-8636332,,,394119071981,,0.0
2024-06-02 21:42:58,Cancel,204-7984397-8636332,,,392614286978,,0.0
2024-06-02 21:42:58,Shipment,204-7984397-8636332,2024-06-03 15:46:39,2024-06-02 17:37:03,394119071981,Product A,365.49
2024-06-02 21:42:58,Shipment,204-7984397-8636332,2024-06-03 15:46:39,2024-06-02 17:37:03,392614286978,Product A,395.26
2024-06-02 21:42:58,Refund,204-7984397-8636332,2024-06-03 15:46:39,2024-06-02 17:37:03,392614286978,Product A,-395.26
2024-06-02 21:42:58,Refund,204-7984397-8636332,2024-06-03 15:46:39,2024-06-02 17:37:03,394119071981,Product A,-365.49
2024-06-02 21:47:10,Shipment,304-0000708-3791287,2024-06-03 03:19:22,2024-06-02 17:36:10,394082537989,Product A,1193.0
2024-06-02 21:47:11,Shipment,404-9522363-3313727,2024-06-03 08:47:11,2024-06-02 17:22:50,392574045839,Product A,789.0
2024-06-02 21:47:15,Shipment,304-2861559-4332190,2024-06-03 03:19:12,2024-06-02 17:34:45,393049956213,Product A,1193.0
2024-06-02 21:47:37,Shipment,604-2562780-5636311,2024-06-03 15:49:04,2024-06-02 17:44:52,393587916781,Product A,635.0
2024-06-02 21:48:51,Cancel,404-8258908-9659317,,,394093700680,,0.0
2024-06-02 21:49:46,Shipment,404-0553304-0355553,2024-06-03 02:06:10,2024-06-02 17:49:37,394114507819,Product A,739.0
2024-06-02 21:49:52,Shipment,304-3226220-5099866,2024-06-03 15:33:36,2024-06-02 17:49:25,392614311847,Product A,712.0
2024-06-02 21:50:10,Shipment,404-5431908-1076663,2024-06-04 09:52:15,2024-06-02 17:50:01,392582380452,Product A,692.0
2024-06-02 21:50:16,Shipment,204-4228309-3057272,2024-06-06 15:38:38,2024-06-02 17:49:56,393590437095,Product A,563.0
2024-06-02 21:50:19,Cancel,604-3511556-6197368,,,393614210420,,0.0
2024-06-02 21:52:15,Shipment,404-8258908-9659317,2024-06-03 11:06:25,2024-06-02 17:48:35,393579038673,Product A,994.0
2024-06-02 21:53:04,Shipment,604-1667292-4499635,2024-06-03 12:39:37,2024-06-02 17:51:28,392034682062,Product A,347.0
2024-06-02 21:53:43,Shipment,604-3511556-6197368,2024-06-03 03:50:43,2024-06-02 17:46:17,393567052338,Product A,474.0
2024-06-02 21:54:38,Shipment,704-2773767-4230095,2024-06-04 16:06:58,2024-06-02 17:54:25,394086214670,Product A,646.0
